Booking_ID,Customer_ID,Employee_ID,Pricing_ID,Booking_Date,Delivery_Date,Origin_City,Destination_City,Vehicle_Type,Weight_LBS,Freight_Amount_USD,Payment_Mode,Shipment_Status,Customer_Name,Customer_City,Industry,Credit_Limit_USD,Customer_Status,Employee_Name,Employee_City,Joining_Date,Salary_USD,Manager_Name
BK000001,CUST3128,EMP1034,PR2040,2025-10-06,,Miami,Los Angeles,Mini Truck,3316.06,19157.69,Prepaid,In Transit,White-Jackson,Houston,Retail,89580,Inactive,Paul Leblanc,Dallas,2023-02-09,47770.0,Megan Rodriguez
BK000002,CUST3013,EMP1065,PR2028,2025-11-26,,Phoenix,Miami,Trailer,9414.42,742.65,Prepaid,Cancelled,Martin-Shaffer,Phoenix,Retail,97601,Active,Bianca Mcconnell,Miami,2022-04-28,98412.0,Michelle Smith
BK000003,CUST3110,EMP1012,PR2042,2025-07-23,,Atlanta,Phoenix,Container,6972.75,12072.77,Prepaid,Pending,Reyes And Sons,Boston,Healthcare,29295,Inactive,Julia Tyler,Dallas,2023-02-03,90553.0,Adam Osborn
BK000004,CUST3209,EMP1004,PR2025,2025-10-02,,New York,Los Angeles,Truck,8285.69,17500.67,Prepaid,Booked,Avila-Holmes,Dallas,Retail,40570,Active,Selena Cameron,Seattle,2025-02-07,87324.0,Kelsey Olson
BK000005,CUST3149,EMP1060,PR2010,2025-09-16,2025-09-29,Seattle,Los Angeles,Container,5849.41,8830.78,Prepaid,Delivered,"Jackson, Bryant And Smith",Seattle,E-commerce,13994,Active,Lisa Jackson,Miami,2024-01-07,47399.0,Brenda Smith
BK000006,CUST3183,EMP1053,PR2041,2026-03-31,,Denver,Houston,Trailer,1275.14,19829.06,Prepaid,Cancelled,Buck Llc,Seattle,Retail,55087,Inactive,Amanda Lewis,Phoenix,2022-03-17,89285.0,Kevin Long
BK000007,CUST3119,EMP1036,PR2033,2025-10-30,,San Francisco,Chicago,Trailer,3037.12,10865.61,Prepaid,Cancelled,"Mills, Duke And Flores",New York,Retail,66632,Inactive,Roberto Curtis,Miami,2025-01-10,57025.0,Ernest Lamb
BK000008,CUST3032,EMP1057,PR2037,2025-07-02,2025-07-14,Los Angeles,Dallas,Van,9641.41,12244.23,COD,Delivered,Lara Llc,Los Angeles,E-commerce,77774,Inactive,Vicki Marquez,Dallas,2022-12-02,105130.0,Rebecca Burns
BK000009,CUST3082,EMP1084,PR2035,2025-11-16,,San Francisco,Phoenix,Truck,8067.92,16605.04,COD,Cancelled,Hall Group,San Francisco,E-commerce,28231,Inactive,Evan Robinson,New York,2023-03-15,60180.0,Kelly Austin
BK000010,CUST3201,EMP1095,PR2046,2025-09-27,2025-09-30,Boston,New York,Trailer,4299.8,12495.61,Credit,Delivered,"Owen, Joyce And Peters",Boston,Manufacturing,40901,Inactive,Amy Smith,Miami,2024-05-21,90976.0,Dana Torres
